Protein	Protein ID	Entry Name	Gene	Protein Length	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	P093501_1 Spectral Count	P093502_2 Spectral Count	P093503_3 Spectral Count	P093504_4 Spectral Count	P093505_5 Spectral Count	P093506_6 Spectral Count	P093507_7 Spectral Count	P093508_8 Spectral Count	P093509_9 Spectral Count	P093510_10 Spectral Count	P093511_11 Spectral Count	P093512_12 Spectral Count	P093513_13 Spectral Count	P093514_14 Spectral Count	P093515_15 Spectral Count	P093516_16 Spectral Count	P093501_1 Unique Spectral Count	P093502_2 Unique Spectral Count	P093503_3 Unique Spectral Count	P093504_4 Unique Spectral Count	P093505_5 Unique Spectral Count	P093506_6 Unique Spectral Count	P093507_7 Unique Spectral Count	P093508_8 Unique Spectral Count	P093509_9 Unique Spectral Count	P093510_10 Unique Spectral Count	P093511_11 Unique Spectral Count	P093512_12 Unique Spectral Count	P093513_13 Unique Spectral Count	P093514_14 Unique Spectral Count	P093515_15 Unique Spectral Count	P093516_16 Unique Spectral Count	P093501_1 Total Spectral Count	P093502_2 Total Spectral Count	P093503_3 Total Spectral Count	P093504_4 Total Spectral Count	P093505_5 Total Spectral Count	P093506_6 Total Spectral Count	P093507_7 Total Spectral Count	P093508_8 Total Spectral Count	P093509_9 Total Spectral Count	P093510_10 Total Spectral Count	P093511_11 Total Spectral Count	P093512_12 Total Spectral Count	P093513_13 Total Spectral Count	P093514_14 Total Spectral Count	P093515_15 Total Spectral Count	P093516_16 Total Spectral Count	P093501_1 Intensity	P093502_2 Intensity	P093503_3 Intensity	P093504_4 Intensity	P093505_5 Intensity	P093506_6 Intensity	P093507_7 Intensity	P093508_8 Intensity	P093509_9 Intensity	P093510_10 Intensity	P093511_11 Intensity	P093512_12 Intensity	P093513_13 Intensity	P093514_14 Intensity	P093515_15 Intensity	P093516_16 Intensity	P093501_1 MaxLFQ Intensity	P093502_2 MaxLFQ Intensity	P093503_3 MaxLFQ Intensity	P093504_4 MaxLFQ Intensity	P093505_5 MaxLFQ Intensity	P093506_6 MaxLFQ Intensity	P093507_7 MaxLFQ Intensity	P093508_8 MaxLFQ Intensity	P093509_9 MaxLFQ Intensity	P093510_10 MaxLFQ Intensity	P093511_11 MaxLFQ Intensity	P093512_12 MaxLFQ Intensity	P093513_13 MaxLFQ Intensity	P093514_14 MaxLFQ Intensity	P093515_15 MaxLFQ Intensity	P093516_16 MaxLFQ Intensity	Indistinguishable Proteins
NP_001388617.1	NP_001388617.1			2260				1.0	0.999	128	31	31	2824	0	0	2	4	4	1	2	0	4	0	0	5	4	5	0	0	0	0	2	4	4	1	2	0	4	0	0	5	4	5	0	0	74	135	189	354	271	198	198	93	223	60	69	267	307	323	41	22	0.0	0.0	1.0031551E7	1.2230758E7	8829456.0	5786150.0	7424808.0	0.0	6230055.5	0.0	2312026.2	1.1258425E7	1.9074248E7	1.8961798E7	0.0	0.0	0.0	0.0	6011575.5	6357248.5	4407423.0	3389188.5	4405660.5	0.0	6351398.5	0.0	2314507.0	5920872.5	7610164.0	8960905.0	0.0	0.0	
NP_001388618.1	NP_001388618.1			352				0.996	0.9981	3	11	0	11	0	0	0	0	0	0	0	0	3	2	2	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	2	0	1	0	1	2	0.0	0.0	4490158.0	0.0	0.0	0.0	0.0	0.0	8766709.0	6154939.5	4559647.5	4543802.0	5721296.0	0.0	0.0	1.5577134E8	0.0	0.0	4490158.0	0.0	0.0	0.0	0.0	0.0	8766709.0	6154939.5	4559647.5	4543802.0	5029852.0	0.0	0.0	0.0	XP_044336365.1, XP_044336366.1, XP_044352602.1, XP_044446472.1, XP_044446473.1
NP_001392002.1	NP_001392002.1			478				1.0	0.999	14	134	123	627	11	8	9	2	5	15	11	20	0	0	0	0	0	0	24	29	9	7	7	2	4	14	10	19	0	0	0	0	0	0	23	28	37	36	40	10	26	68	57	74	2	2	4	2	1	3	133	132	4.5667684E7	8.955822E7	7.869717E7	3.0373268E7	5.548477E7	1.9256533E8	1.7572054E8	5.777514E8	0.0	0.0	0.0	0.0	0.0	0.0	3.7227433E9	2.4231892E9	1.0058129E8	6.9905304E7	5.8457144E7	2.4920172E7	4.7855804E7	1.1014781E8	8.564845E7	1.7544448E8	0.0	0.0	0.0	0.0	0.0	0.0	1.5146982E9	1.2789271E9	
NP_001392004.1	NP_001392004.1			262				1.0	0.999	19	1082	160	1082	56	26	57	183	129	138	108	73	28	36	68	43	45	75	8	9	5	5	6	39	25	13	11	11	4	6	11	7	7	10	0	0	56	26	57	183	129	138	108	73	28	36	68	43	45	75	8	9	1.700603E10	3.2256228E9	1.1456775E10	2.9701425E10	3.1203752E10	7.941445E10	5.4516093E10	1.7725913E10	4.287061E9	4.6506424E9	1.6591619E10	7.2347315E9	7.619423E9	1.3838165E10	5.896999E8	7.051961E8	8.1625574E9	2.0171864E9	4.250593E9	1.961265E10	1.3302423E10	2.5049956E10	1.6015394E10	7.4899973E9	2.2094413E9	2.6318664E9	7.313683E9	2.6883172E9	2.5152366E9	4.196501E9	4.7104944E8	3.699277E8	
NP_001392005.1	NP_001392005.1			515				1.0	0.999	50	291	291	3957	6	9	17	14	11	18	20	15	24	21	20	21	27	35	17	16	6	9	17	14	11	18	20	15	24	21	20	21	27	35	17	16	93	133	264	260	185	242	262	196	312	237	218	282	305	443	273	252	9.69213E7	3.104777E8	1.5481272E9	1.2978002E9	7.7046694E8	1.4564859E9	2.2023043E9	1.2667064E9	2.6296852E9	1.3731825E9	8.6865E8	3.8785976E9	4.346892E9	5.662239E9	3.3039603E9	3.6227005E9	8.947356E8	8.491967E8	1.277212E9	1.1513979E9	8.779765E8	1.1707457E9	1.4538725E9	1.231466E9	2.0110625E9	1.4283453E9	1.138183E9	1.7900579E9	2.249347E9	2.882886E9	1.8471468E9	2.0941052E9	
NP_001392006.1	NP_001392006.1			399				1.0	0.999	25	232	231	1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	122	2	1	9	13	13	15	14	20	2	3	7	7	7	7	461	528	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.09860995E11	1.871942E11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.5500496E10	8.6055125E10	
NP_001392007.1	NP_001392007.1			593				1.0	0.999	20	1182	0	1182	11	24	104	134	88	74	83	60	77	64	72	94	108	132	35	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	24	104	134	88	74	83	60	77	64	72	94	108	132	35	22	6.972779E7	1.6640856E8	2.2526282E9	2.7361485E9	2.1004673E9	1.697672E9	1.9158702E9	7.9000755E8	2.1767107E9	1.1017372E9	1.7607901E9	2.37089E9	2.2353344E9	5.453632E9	2.018813E8	2.3046389E8	2.1339794E8	2.6140773E8	7.6925824E8	1.0378565E9	8.0567354E8	6.272434E8	7.803059E8	4.2506624E8	7.8319424E8	6.4025914E8	6.78734E8	8.095936E8	8.456146E8	1.2577421E9	2.0512072E8	2.4751472E8	NP_001413711.1, XP_044362784.1
NP_001392009.1	NP_001392009.1			314				1.0	0.999	22	88	76	607	1	4	4	4	4	10	8	4	4	3	2	6	11	11	6	6	1	4	4	4	3	9	7	4	4	3	2	5	10	7	5	4	5	11	45	25	24	64	52	51	26	19	25	56	61	89	32	22	877282.44	5.020985E7	1.320977E8	3.7691416E7	2.030717E7	5.3799836E7	9.776483E7	9.83857E7	6.821444E7	4.5308464E7	4.5284348E7	1.747642E8	2.714575E8	7.949628E7	8.572194E7	6.5187228E7	877282.44	5.020985E7	9.565157E7	3.2059184E7	2.8715132E7	7.031835E7	8.40121E7	8.791238E7	5.027242E7	5.778578E7	3.5964764E7	8.3062856E7	1.2111448E8	7.065605E7	8.200181E7	6.5507676E7	
NP_001392016.1	NP_001392016.1			477				1.0	0.999	68	14040	4	14040	3200	4155	187	986	2184	113	106	72	578	576	676	207	251	465	123	161	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3200	4155	187	986	2184	113	106	72	578	576	676	207	251	465	123	161	6.9395205E11	6.9698965E11	5.251997E9	1.1285145E11	2.653466E11	9.0766317E8	1.6455318E9	5.1957482E8	6.398662E10	4.3555684E10	4.2382328E10	7.1891727E9	8.814204E9	3.2803172E10	1.9087776E9	9.323991E9	2.4693026E11	3.3655508E11	1.00025325E9	1.9280857E10	7.871001E10	5.9352774E8	6.17837E8	4.2694858E8	1.0162463E10	7.3660943E9	8.135235E9	1.1499351E9	1.5360435E9	5.1772646E9	6.273932E8	5.663872E9	
NP_001392017.1	NP_001392017.1			287				1.0	0.999	3	18	13	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.6923366E8	2.4510651E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6557243E8	4.3975952E8	
